ID,申し込み名,種別,ベーシックプラン,ネーミングライツ,ネームプレート,弁当,スカラシップ,ジョブボードURL,ジョブボード画像代替テキスト
01_01,株式会社ゆめみ,ベーシック,プラチナ,無し,有り,無し,無し,-,-
01_02,株式会社出前館,ベーシック,プラチナ,無し,無し,無し,無し,-,-
01_03,株式会社アサイン,ベーシック,プラチナ,ホール,無し,無し,有り,-,-
01_04,"RevenueCat, Inc.",ベーシック,プラチナ,ホール,無し,無し,無し,-,-
01_05,Google LLC,ベーシック,プラチナ,無し,無し,無し,無し,-,-
02_01,株式会社サイバーエージェント,ベーシック,ゴールド,無し,無し,無し,有り,-,-
02_02,株式会社iiba,ベーシック,ゴールド,無し,無し,無し,無し,-,-
02_03,シンプレクス株式会社,ベーシック,ゴールド,無し,無し,無し,無し,-,-
02_04,Nevercode LTD,ベーシック,ゴールド,無し,無し,無し,無し,-,-
02_05,株式会社MagicPod,ベーシック,ゴールド,無し,無し,無し,無し,-,-
03_01,"ZOZO, Inc.",ベーシック,シルバー,無し,無し,無し,有り,-,-
03_02,株式会社GENDA,ベーシック,シルバー,無し,無し,無し,無し,-,-
03_03,エムスリー株式会社,ベーシック,シルバー,無し,無し,無し,無し,-,-
03_04,株式会社Linc'well,ベーシック,シルバー,無し,無し,無し,無し,-,-
03_05,株式会社ディー・エヌ・エー,ベーシック,シルバー,無し,無し,無し,無し,-,-
03_06,CodeRabbit,ベーシック,シルバー,無し,無し,無し,無し,-,-
03_07,株式会社YOUTRUST,ベーシック,シルバー,無し,無し,無し,無し,-,-
03_08,ソニー株式会社,ベーシック,シルバー,無し,無し,無し,無し,-,-
03_09,チームラボ株式会社,ベーシック,シルバー,無し,無し,無し,有り,-,-
03_10,株式会社hacomono,ベーシック,シルバー,無し,無し,無し,無し,-,-
03_11,株式会社SODA,ベーシック,シルバー,無し,無し,無し,無し,-,-
04_01,株式会社MIXI,ベーシック,ブロンズ,無し,無し,無し,有り,,
04_02,スタディプラス株式会社,ベーシック,ブロンズ,無し,無し,無し,無し,,
04_03,株式会社ギークニア,ベーシック,ブロンズ,無し,無し,無し,無し,,
04_04,Sentry,ベーシック,ブロンズ,無し,無し,無し,無し,,
04_05,パイオニア株式会社,ベーシック,ブロンズ,無し,無し,無し,無し,,
04_06,株式会社メドレー,ベーシック,ブロンズ,無し,無し,無し,無し,,
04_07,Hamee株式会社,ベーシック,ブロンズ,無し,無し,無し,無し,,
04_08,株式会社アイビス,ベーシック,ブロンズ,無し,無し,無し,無し,,
04_09,株式会社LayerX,ベーシック,ブロンズ,無し,無し,無し,有り,,
04_10,NTTレゾナントテクノロジー株式会社,ベーシック,ブロンズ,無し,無し,無し,無し,,
04_11,株式会社IBJ,ベーシック,ブロンズ,無し,無し,無し,無し,,
04_12,株式会社メンバーズ,ベーシック,ブロンズ,無し,無し,無し,無し,,
04_13,株式会社TRUSTDOCK,ベーシック,ブロンズ,無し,無し,有り,無し,,
04_14,GMOコネクト株式会社,ベーシック,ブロンズ,無し,無し,無し,無し,,
04_15,株式会社Leafea,ベーシック,ブロンズ,無し,無し,無し,無し,,
04_16,東急株式会社,ベーシック,ブロンズ,無し,無し,無し,無し,,
04_17,株式会社UPSIDER,ベーシック,ブロンズ,無し,無し,無し,無し,,
05_01,株式会社ビットジャーニー,ツール,,無し,無し,無し,無し,,
