申し込み時刻,申し込み名,表示会社名,スラッグ,PR文章,サイトURL ,Xアカウント,ロゴ名
2025/05/19 10:01:59,"ZOZO, Inc.",株式会社ZOZO,zozo,ファッションEC「ZOZOTOWN」、ファッションコーディネートアプリ「WEAR by ZOZO」など各種サービスの企画・展開のほか、「ZOZOSUIT」「ZOZOMAT」「ZOZOGLASS」など計測技術の開発・活用にも取り組んでいます。,https://corp.zozo.com/,zozotech,1081d25c-46d3-4620-bc9b-66ee70a356bb.webp
2025/05/19 10:02:13,株式会社GENDA,株式会社GENDA,genda,「世界中の人々の人生をより楽しく」をAspirationに掲げるエンタメ企業。「GiGO」等のアミューズメント施設運営やカラオケ、キャラクターMD、F&B、コンテンツ&プロモーションなどエンタメ領域で事業を展開しています。,https://genda.jp/,GENDA_jp,44a6529b-c7fd-4e34-8c65-07cfab1143f8.webp
2025/05/19 10:03:19,株式会社MIXI,株式会社MIXI,mixi,MIXIは、「豊かなコミュニケーションを広げ、世界を幸せな驚きで包む。」というパーパスのもと、「mixi」や「モンスターストライク」など、友人や家族間で一緒に楽しむコミュニケーションサービスを提供しています。,https://mixi.co.jp/,mixi_engineers,53366548-10d0-4272-8bb6-462321f51e4d.webp
2025/05/19 10:04:25,株式会社ゆめみ,株式会社ゆめみ,yumemi,6000万人のみんな知ってるあのサービスも、ゆめみが一緒に作ってます。大手企業や急成長スタートアップと共創型でWeb/スマホのサービス作りや内製化支援を行っています。【エンジニアが最も成長できる会社No.1】を目標にした、アジャイル組織として先端を走るエンジニア集団です。,https://yumemi.co.jp/,yumemiinc,1faeb563-9e1c-4f56-96ab-32d45bab81d0.webp
2025/05/19 10:05:39,スタディプラス株式会社,スタディプラス株式会社,studyplus,スタディプラスは「学ぶ喜びをすべての人へ」をミッションに、学習の記録・可視化・共有をサポートするStudyplusを提供しています。楽しく学びを広げるプラットフォームを一緒に作りませんか？あなたのアイデアが、学びを豊かにする力になります。,https://info.studyplus.co.jp/,studyplus_dev,95fc9aaa-38d1-482b-ac8f-fe9bdb9db0a7.webp
2025/05/19 10:10:05,株式会社出前館,株式会社出前館,demae-can,"出前館はクイックコマースサービスとして領域を拡大し、当社のコーポレートミッション「テクノロジーで時間価値を高める」に基づき、利用いただいた皆さまに対して“時間価値の最大化“を実現していきたいと考えています。
地域活性化とともに、少子高齢化や買い物難民の増加をはじめとした地域や社会課題の解決に向き合い、社会にとって不可欠なライフインフラとして日本経済の発展に貢献できるサービスを目指して挑戦を続けています。",https://recruit.demae-can.co.jp/,-,d1c33512-f3dc-4f53-b099-3193fa495df0.webp
2025/05/19 11:26:41,株式会社サイバーエージェント,株式会社サイバーエージェント,cyberagent,サイバーエージェントはインターネットを軸に、メディア&IP事業、インターネット広告事業、ゲーム事業と主に3つの事業を展開しています。その他にもIP・コンテンツ、AI、DXを強化分野として事業創出に取り組んでおり、様々な事業でFlutterの活用事例があります。社内発の社外向けの勉強会である「CA.flutter」も定期的に開催しています。,https://www.cyberagent.co.jp/,ca_developers,e9f3db7b-3742-4763-b8ff-9bc6a34050a2.webp
2025/05/19 13:20:24,エムスリー株式会社,エムスリー株式会社,m3,"エムスリーは""インターネットを活用し、健康で楽しく長生きする人を１人でも増やし、不必要な医療コストを１円でも減らすこと"" をミッションに、テクノロジーの力で日本および世界の医療の変革にチャレンジしています。",https://jobs.m3.com/product/,m3_engineering,18518903-01a8-43e8-857a-56cb8d478ef8.webp
2025/05/19 13:30:25,株式会社ギークニア,株式会社ギークニア,geekneer,ギークニアは、転職エージェントが全員元エンジニアの人材紹介会社です。エンジニア、ITコンサル、PM、データサイエンティスト、PdM、SRE、QAエンジニアなどIT専門職の方のキャリアサクセスを応援しております。,https://geekneer.com/,geekneerjp,47c20891-cb0b-48b0-8f32-aec3856a2a4e.webp
2025/05/19 13:56:28,株式会社Linc'well,株式会社Linc'well,linc-well,Linc'wellは「テクノロジーを通じて、医療を一歩前へ」をミッションに掲げ、医療を効率化し患者の医療体験と医療の質の向上を目指した事業展開を行っています。2023年リリースのFlutterアプリ「クリフォア」を開発する仲間を募集中です！,https://linc-well.com/,lincwell_dev,afae8fe0-b0d8-43c9-85e3-aa82ef30d001.webp
